Wavelength (nm),Intensity
257.8999999999967,6041973879.096829
257.9999999999967,11303895489.67063
258.0999999999967,13263549885.82751
258.1999999999967,6920287991.382874
258.29999999999666,1572050941.8980284
258.3999999999967,155325504.9708298
258.4999999999967,6674636.569616951
258.59999999999667,176787.18805485428
258.69999999999663,2436223.3548314613
258.79999999999666,49933226.136222154
258.8999999999967,448103024.9780032
258.99999999999665,1760685754.4087405
259.0999999999966,3029015881.818165
259.19999999999663,2281962178.9841814
259.29999999999666,765984050.383752
259.3999999999966,322446725.5789558
259.4999999999966,1492904255.6340032
259.5999999999966,4540640388.765687
259.69999999999663,6132594011.408149
259.7999999999966,4063777208.3845067
259.89999999999657,3536384838.597212
259.9999999999966,7173653881.286916
260.0999999999966,10028234828.52508
260.1999999999966,10255159269.492311
260.29999999999654,12163188116.689417
260.39999999999657,12531910250.658934
260.4999999999966,9686158888.389107
260.59999999999656,6031372213.8682165
260.6999999999965,3702095165.408111
260.79999999999654,7690997934.718015
260.89999999999657,15361698252.047205
